,pr_number,po_number,pr_po_no,uid_number,activity,date,item,item_line,po_line,gr_number,gr_line,inv_line,wf_line
924,0,6221385508,0-6221385508,0E1D9C6AD8034B47AEC6DCB641AC930F,Invoice Created,20240109 13:01:32.000000,10,['i83140'],,0,,['v1635'],
925,0,5620421013,0-5620421013,F8F710E71AF440B396F7FA38A6047174,Invoice Created,20240109 13:01:41.000000,10,['i1277'],,0,,['v29336'],
926,0,5620421013,0-5620421013,F8F710E71AF440B396F7FA38A6047174,WF GR_Missing_Sent,20240109 13:10:14.000000,10,['i1277'],,0,,['v29336'],['wf27076']
927,0,5620421013,0-5620421013,F8F710E71AF440B396F7FA38A6047174,Invoice WF_GR_MISSING,20240109 13:12:58.000000,10,['i1277'],,0,,['v29336'],['wf27076']
928,4121138079,5811271121,,,GR Goods Receipt,20240109 13:25:29.000000,"20, 30, 40, 50, 60, 70, 90","['i75380', 'i75381', 'i75382', 'i75383', 'i75384', 'i75385', 'i75387']",['po21103'],4919196015,['gr41929'],,
929,4121138066,5811271120,,,GR Goods Receipt,20240109 13:26:52.000000,10,['i75378'],['po21102'],4919196016,['gr41928'],,
930,4121130468,5811271123,,,GR Goods Receipt,20240109 13:28:43.000000,10,['i75390'],['po21105'],4919196017,['gr41933'],,
931,4121135948,5811271122,,,GR Goods Receipt,20240109 14:17:25.000000,20,['i75389'],['po21104'],4919196018,['gr41931'],,
932,4121135948,5811271122,,,GR Goods Receipt,20240109 14:22:24.000000,10,['i75388'],['po21104'],4919196063,['gr41932'],,
933,0,6221388932,,,GR Goods Receipt,20240109 14:22:49.000000,10,['i83255'],['po22997'],5010667909,['gr48648'],,
934,4121148081,5620512267,,,PR Purchase Request,20240110 14:25:11.000000,10,['i2467'],,0,,,
935,4121121482,5620519957,,,PR Purchase Request,20240110 14:33:27.000000,20,['i2943'],,0,,,
936,4120826177,5620519454,,,PR Purchase Request,20240110 14:39:04.000000,320,['i2922'],,0,,,
937,4121149814,5620514019,,,PR Purchase Request,20240110 14:52:19.000000,10,['i2495'],,0,,,
938,4121149652,5620512699,,,PR Purchase Request,20240110 15:07:14.000000,10,['i2487'],,0,,,
939,4121149749,5620514019,,,PR Purchase Request,20240110 15:20:38.000000,10,['i2495'],,0,,,
940,4121149720,5620517547,,,PR Purchase Request,20240110 15:33:43.000000,10,['i2638'],,0,,,
941,4121148080,5620512267,,,PR Purchase Request,20240110 15:41:29.000000,10,['i2467'],,0,,,
942,4121149667,5620514019,,,PR Purchase Request,20240110 15:45:28.000000,10,['i2495'],,0,,,
943,4121149748,5620514019,,,PR Purchase Request,20240110 15:47:13.000000,10,['i2495'],,0,,,
944,4121149581,5811271240,,,PR Purchase Request,20240110 15:48:45.000000,10,['i75436'],,0,,,
945,4120533936,5620517532,,,PR Purchase Request,20240110 15:53:14.000000,210,['i2630'],,0,,,
946,4121149710,5620514019,,,PR Purchase Request,20240110 16:08:55.000000,10,['i2495'],,0,,,
947,4121150181,5620517546,,,PR Purchase Request,20240110 16:14:07.000000,10,['i2637'],,0,,,
948,4121149815,5620514019,,,PR Purchase Request,20240110 16:22:50.000000,10,['i2495'],,0,,,
949,4121150024,5620525563,,,PR Purchase Request,20240110 16:30:22.000000,10,['i3141'],,0,,,
950,21855597,5911240329,,,PR Purchase Request,20240110 16:30:22.000000,10,['i80101'],,0,,,
951,4121150315,5620521940,,,PR Purchase Request,20240110 16:40:53.000000,10,['i2980'],,0,,,
952,4121148079,5620512267,,,PR Purchase Request,20240110 16:41:17.000000,10,['i2467'],,0,,,
953,4121150193,5911240315,,,PR Purchase Request,20240110 16:42:40.000000,10,['i80100'],,0,,,
954,4121146927,5620512267,,,PO From SAP,20240110 16:52:04.000000,20,['i2468'],['po130'],0,,,
955,4121146976,5620512267,,,PO From SAP,20240110 17:25:24.000000,30,['i2469'],['po130'],0,,,
956,4121146982,5620512267,,,PO From SAP,20240110 17:33:01.000000,40,['i2470'],['po130'],0,,,
957,4121148080,5620512267,,,PO From SAP,20240110 17:38:27.000000,80,['i2474'],['po130'],0,,,
958,4121146993,5620512267,,,PO From SAP,20240110 17:43:38.000000,60,['i2472'],['po130'],0,,,
959,4121146773,5620512940,,,PO From SAP,20240110 17:56:15.000000,10,['i2491'],['po136'],0,,,
960,0,5620512492,,,PO From SAP,20240110 18:02:41.000000,"10, 20, 30","['i2482', 'i2483', 'i2484']",['po132'],0,,,
961,4121146590,5620512267,,,PO From SAP,20240110 18:07:58.000000,10,['i2467'],['po130'],0,,,
962,4121147636,5620512289,,,PO From SAP,20240110 18:22:04.000000,30,['i2478'],['po131'],0,,,
963,0,6221391939,,,PO From WISE,20240110 18:28:21.000000,10,['i83371'],['po23061'],0,,,
964,4121147637,5620512289,,,PO From SAP,20240110 18:52:41.000000,40,['i2479'],['po131'],0,,,
965,0,6221391941,,,PO From WISE,20240110 19:15:11.000000,10,['i83372'],['po23062'],0,,,
966,4120660401,5911240285,,,PO From SAP,20240110 20:22:15.000000,10,['i80095'],['po22336'],0,,,
967,0,6221391945,,,PO From WISE,20240110 21:08:51.000000,10,['i83373'],['po23063'],0,,,
968,4121146992,5620512267,,,PO From SAP,20240110 02:16:05.000000,50,['i2471'],['po130'],0,,,
969,4121146773,5620512934,,,PO From SAP,20240110 02:30:49.000000,10,['i2490'],['po135'],0,,,
970,0,6221391857,,,PO From WISE,20240110 03:10:16.000000,10,['i83368'],['po23058'],0,,,
971,0,6221391875,,,PO From WISE,20240110 03:10:36.000000,10,['i83369'],['po23059'],0,,,
972,4121147638,5620512289,,,PO From SAP,20240110 04:14:11.000000,50,['i2480'],['po131'],0,,,
973,0,6221391527,,,PO From WISE,20240110 04:14:49.000000,10,['i83361'],['po23052'],0,,,
974,4121148079,5620512267,,,PO From SAP,20240110 04:29:00.000000,70,['i2473'],['po130'],0,,,
975,0,6221391528,,,PO From WISE,20240110 05:12:11.000000,10,['i83362'],['po23053'],0,,,
976,21855365,5620512942,,,PO From SAP,20240110 05:13:03.000000,10,['i2492'],['po137'],0,,,
977,0,6221391530,,,PO From WISE,20240110 06:01:16.000000,10,['i83363'],['po23054'],0,,,
978,0,6221391907,,,PO From WISE,20240110 06:26:23.000000,10,['i83370'],['po23060'],0,,,
979,0,5620512509,,,PO From SAP,20240110 06:28:29.000000,"10, 20","['i2485', 'i2486']",['po133'],0,,,
980,0,6221391650,,,PO From WISE,20240110 06:40:29.000000,10,['i83364'],['po23055'],0,,,
981,4121147443,5620512289,,,PO From SAP,20240110 06:46:38.000000,20,['i2477'],['po131'],0,,,
982,4121148081,5620512267,,,PO From SAP,20240110 06:50:30.000000,90,['i2475'],['po130'],0,,,
983,0,6221391744,,,PO From WISE,20240110 06:53:00.000000,"10, 20","['i83365', 'i83366']",['po23056'],0,,,
984,4121147442,5620512289,,,PO From SAP,20240110 06:57:21.000000,10,['i2476'],['po131'],0,,,
985,0,6221391855,,,PO From WISE,20240110 07:20:53.000000,10,['i83367'],['po23057'],0,,,
986,4121147639,5620512289,,,PO From SAP,20240110 07:28:40.000000,60,['i2481'],['po131'],0,,,
987,4121146773,5620512928,,,PO From SAP,20240110 07:47:13.000000,10,['i2489'],['po134'],0,,,
988,0,5620508825,,,GR Goods Receipt,20240110 08:23:33.000000,"10, 20, 30","['i2320', 'i2321', 'i2322']",['po83'],5010667952,['gr2546'],,
989,0,6221391218,,,GR Goods Receipt,20240110 08:34:02.000000,10,['i83359'],['po23050'],5010668202,['gr48744'],,
990,0,6221388938,,,GR Goods Receipt,20240110 08:40:45.000000,20,['i83273'],['po23002'],5010668398,['gr48663'],,
991,0,6221388938,,,GR Goods Receipt,20240110 08:52:59.000000,30,['i83274'],['po23002'],5010668399,['gr48664'],,
992,4121140490,5620507817,,,GR Goods Receipt,20240110 08:54:06.000000,"20, 30","['i2288', 'i2289']",['po72'],5010668611,['gr2523'],,
993,4121140613,5620508080,,,GR Goods Receipt,20240110 08:54:21.000000,"20, 30","['i2291', 'i2292']",['po73'],5010668611,['gr2524'],,
994,4121140348,5620507817,,,GR Goods Receipt,20240110 08:55:54.000000,"20, 30","['i2288', 'i2289']",['po72'],5010668611,['gr2523'],,
995,4121140764,5620508080,,,GR Goods Receipt,20240110 09:07:15.000000,"20, 30","['i2291', 'i2292']",['po73'],5010668611,['gr2524'],,
