,pr_number,po_number,pr_po_no,uid_number,activity,date,item,item_line,po_line,gr_number,gr_line,inv_line,wf_line
64,0,6221263817,0-6221263817,410B039FD350499FBDB33753086F1ED3,Invoice Errors,20240102 11:16:52.000000,10,['i82402'],,0,,['v786'],
65,0,6221263817,0-6221263817,410B039FD350499FBDB33753086F1ED3,Invoice WF_GR_MISSING,20240102 11:35:02.000000,10,['i82402'],,0,,['v786'],['wf722']
66,0,6221263817,0-6221263817,410B039FD350499FBDB33753086F1ED3,WF GR_Missing_Sent,20240102 11:36:31.000000,10,['i82402'],,0,,['v786'],['wf722']
67,4121130659,5620498637,,,GR Goods Receipt,20240102 11:36:42.000000,"10, 30, 40, 50","['i2064', 'i2066', 'i2067', 'i2068']",['po1'],5010651368,['gr2410'],,
68,4121130658,5620498637,,,GR Goods Receipt,20240102 12:03:00.000000,"10, 30, 40, 50","['i2064', 'i2066', 'i2067', 'i2068']",['po1'],5010651368,['gr2410'],,
69,4121130288,5620498637,,,GR Goods Receipt,20240102 12:03:28.000000,"10, 30, 40, 50","['i2064', 'i2066', 'i2067', 'i2068']",['po1'],5010651368,['gr2410'],,
70,4121130326,5620498637,,,GR Goods Receipt,20240102 12:03:30.000000,"10, 30, 40, 50","['i2064', 'i2066', 'i2067', 'i2068']",['po1'],5010651368,['gr2410'],,
71,4121130327,5620498637,,,GR Goods Receipt,20240102 12:16:59.000000,"10, 30, 40, 50","['i2064', 'i2066', 'i2067', 'i2068']",['po1'],5010651368,['gr2410'],,
72,4121130391,5620498637,,,GR Goods Receipt,20240102 12:19:43.000000,"10, 30, 40, 50","['i2064', 'i2066', 'i2067', 'i2068']",['po1'],5010651368,['gr2410'],,
73,0,5620498674,,,GR Goods Receipt,20240102 12:22:54.000000,"10, 20, 30, 40, 50","['i2083', 'i2084', 'i2085', 'i2086', 'i2087']",['po3'],5010651397,['gr2416'],,
74,0,6221379257,0-6221379257,C1944DECEA564870B413D894BE1B3C2C,Invoice Created,20240102 12:31:03.000000,10,['i83007'],,0,,['v489'],
75,0,6221386333,0-6221386333,C399F9490AC547AE9DE25503BD424489,Invoice Created,20240102 12:44:15.000000,10,['i83167'],,0,,['v23188'],
76,21855026,5620505587,,,PR Purchase Request,20240103 12:44:42.000000,10,['i2187'],,0,,,
77,4120750257,5620509741,,,PR Purchase Request,20240103 13:03:00.000000,50,['i2372'],,0,,,
78,4121135814,0,,,PR Cancelled,20240103 13:12:55.000000,10,['i0'],,0,,,
79,4121135815,5620505498,,,PR Purchase Request,20240103 13:16:11.000000,10,['i2185'],,0,,,
80,4121135836,5620505496,,,PR Purchase Request,20240103 13:30:16.000000,10,['i2184'],,0,,,
81,4121135503,5811271099,,,PR Purchase Request,20240103 13:32:55.000000,10,['i75375'],,0,,,
82,4120977660,5620505761,,,PR Purchase Request,20240103 13:34:25.000000,30,['i2214'],,0,,,
83,4121135501,5620505483,,,PR Purchase Request,20240103 14:03:02.000000,10,['i2181'],,0,,,
84,4121135860,0,,,PR Cancelled,20240103 14:16:24.000000,10,['i0'],,0,,,
85,4121135489,5620504064,,,PR Purchase Request,20240103 14:21:33.000000,10,['i2141'],,0,,,
